Date,Nafta,Dujos
1992-01-01,40.225,54.516
1992-02-01,41.09,49.912
1992-03-01,41.165,50.534
1992-04-01,44.088,51.973
1992-05-01,45.566,54.755
1992-06-01,47.918,55.871
1992-07-01,45.305,58.466
1992-08-01,43.653,61.642
1992-09-01,44.889,64.059
1992-10-01,45.256,67.652
1992-11-01,44.149,65.666
1992-12-01,41.832,64.525
1993-01-01,40.549,62.881
1993-02-01,43.043,60.374
1993-03-01,43.42,65.8
1993-04-01,42.287,68.291
1993-05-01,41.565,65.489
1993-06-01,39.908,63.291
1993-07-01,38.138,63.838
1993-08-01,37.973,66.829
1993-09-01,36.106,65.323
1993-10-01,37.832,61.745
1993-11-01,35.182,65.482
1993-12-01,31.29,62.153
1994-01-01,33.441,62.638
1994-02-01,32.124,67.834
1994-03-01,31.637,59.611
1994-04-01,34.968,58.377
1994-05-01,37.639,56.952
1994-06-01,39.136,58.273
1994-07-01,40.145,58.742
1994-08-01,37.84,55.714
1994-09-01,35.722,53.918
1994-10-01,36.16,54.329
1994-11-01,37.907,54.332
1994-12-01,36.027,55.71
1995-01-01,37.337,54.839
1995-02-01,38.272,56.037
1995-03-01,36.642,57.182
1995-04-01,38.604,59.47
1995-05-01,38.35,59.409
1995-06-01,35.945,59.631
1995-07-01,33.43,56.584
1995-08-01,35.39,56.564
1995-09-01,36.632,57.976
1995-10-01,35.007,60.552
1995-11-01,36.468,62.478
1995-12-01,39.144,71.797
1996-01-01,39.282,75.848
1996-02-01,39.077,88.859
1996-03-01,43.119,76.448
1996-04-01,46.372,67.826
1996-05-01,42.869,67.683
1996-06-01,41.7,70.894
1996-07-01,43.722,71.8
1996-08-01,44.889,65.248
1996-09-01,49.555,62.165
1996-10-01,52.759,71.007
1996-11-01,49.657,83.469
1996-12-01,52.987,92.884
1997-01-01,53.336,86.049
1997-02-01,48.073,70.806
1997-03-01,45.685,64.858
1997-04-01,42.516,64.461
1997-05-01,45.593,67.262
1997-06-01,42.045,66.766
1997-07-01,43.434,64.665
1997-08-01,45.009,67.937
1997-09-01,44.674,73.714
1997-10-01,47.627,75.373
1997-11-01,45.229,74.239
1997-12-01,41.275,66.289
1998-01-01,36.334,62.779
1998-02-01,34.031,61.995
1998-03-01,31.902,61.388
1998-04-01,32.288,62.634
1998-05-01,33.69,58.917
1998-06-01,30.355,58.753
1998-07-01,30.999,57.754
1998-08-01,30.542,53.26
1998-09-01,32.802,55.036
1998-10-01,30.605,52.74
1998-11-01,27.707,54.711
1998-12-01,24.093,49.481
1999-01-01,26.14,50.205
1999-02-01,25.242,48.976
1999-03-01,30.594,49.125
1999-04-01,37.66,53.014
1999-05-01,38.767,56.538
1999-06-01,39.308,57.95
1999-07-01,45.405,58.471
1999-08-01,48.046,66.286
