"date","confirmed_new","confirmed_total","deaths_new","deaths_total","recovered_new","recovered_total","active_new","active_total","tested_new","tested_total","hospitalised","hospitalised_intensive"
2020-02-25,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA
2020-02-26,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA
2020-02-27,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA
2020-02-28,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA
2020-02-29,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA
2020-03-01,0,0,0,0,0,0,0,0,10,97,NA,NA
2020-03-02,0,0,0,0,0,0,0,0,17,114,NA,NA
2020-03-03,1,1,0,0,1,1,0,0,17,131,NA,NA
2020-03-04,0,1,0,0,0,1,0,0,21,152,NA,NA
2020-03-05,0,1,0,0,0,1,0,0,17,170,NA,NA
2020-03-06,0,1,0,0,0,1,0,0,16,186,NA,NA
2020-03-07,0,1,0,0,0,1,0,0,14,200,NA,NA
2020-03-08,2,3,0,0,0,1,2,2,22,222,NA,NA
2020-03-09,3,6,0,0,0,1,3,5,22,244,NA,NA
2020-03-10,2,8,0,0,0,1,2,7,30,274,NA,NA
2020-03-11,2,10,0,0,0,1,2,9,17,291,NA,NA
2020-03-12,6,16,0,0,0,1,6,15,41,332,NA,NA
2020-03-13,5,21,0,0,0,1,5,20,76,408,NA,NA
2020-03-14,9,30,0,0,0,1,9,29,258,666,NA,NA
2020-03-15,4,34,0,0,0,1,4,33,244,910,NA,NA
2020-03-16,4,38,0,0,0,1,4,37,237,1147,NA,NA
2020-03-17,26,64,0,0,0,1,26,63,391,1538,NA,NA
2020-03-18,11,75,0,0,0,1,11,74,604,2144,NA,NA
2020-03-19,15,90,0,0,0,1,15,89,533,2677,NA,NA
2020-03-20,25,115,0,0,0,1,25,114,528,3205,NA,NA
2020-03-21,13,128,0,0,0,1,13,127,1241,4446,NA,NA
2020-03-22,15,143,0,0,0,1,15,142,681,5127,NA,NA
2020-03-23,41,184,0,0,0,1,41,183,987,6114,NA,NA
2020-03-24,17,201,0,0,0,1,17,200,692,6806,NA,NA
2020-03-25,24,225,0,0,0,1,24,224,1151,9796,NA,NA
2020-03-26,23,248,0,0,0,1,23,247,817,10613,NA,NA
2020-03-27,36,284,0,0,0,1,36,283,1089,11702,NA,NA
2020-03-28,25,309,0,0,0,1,25,308,1046,12748,NA,NA
2020-03-29,42,351,0,0,0,1,42,350,1057,13805,NA,NA
2020-03-30,29,380,0,0,0,1,29,379,502,14307,NA,NA
2020-03-31,22,402,0,0,0,1,22,401,500,14807,NA,NA
2020-04-01,48,450,0,0,0,1,48,449,1003,15810,NA,NA
2020-04-02,12,462,0,0,0,1,12,461,1024,16834,NA,NA
2020-04-03,35,497,0,0,0,1,35,496,1364,18198,NA,NA
2020-04-04,16,513,0,0,0,1,16,512,1182,19380,NA,NA
2020-04-05,24,537,0,0,0,1,24,536,1300,20680,NA,NA
2020-04-06,9,546,1,1,0,1,8,544,773,21453,NA,NA
2020-04-07,6,552,1,2,15,16,-10,534,1122,22575,NA,NA
2020-04-08,29,581,0,2,0,16,29,563,1461,24036,NA,NA
2020-04-09,12,593,0,2,0,16,12,575,1422,25458,NA,NA
2020-04-10,23,616,0,2,0,16,23,598,1198,26656,NA,NA
2020-04-11,18,634,1,3,0,16,17,615,1140,27796,NA,NA
2020-04-12,21,655,2,5,0,16,19,634,418,28214,NA,NA
2020-04-13,2,657,0,5,0,16,2,636,562,28776,NA,NA
2020-04-14,9,666,0,5,28,44,-19,617,878,29654,NA,NA
2020-04-15,9,675,0,5,13,57,-4,613,1406,31060,NA,NA
2020-04-16,7,682,0,5,7,64,0,613,242,31302,NA,NA
2020-04-17,30,712,0,5,0,64,30,643,1860,33162,NA,NA
2020-04-18,15,727,0,5,0,64,15,658,1184,34346,NA,NA
2020-04-19,12,739,0,5,24,88,-12,646,1200,35546,NA,NA
2020-04-20,9,748,4,9,0,88,5,651,1304,37972,NA,NA
