"date","tested_new","tested_total","observed"
2020-02-24,NA,NA,NA
2020-02-25,NA,NA,NA
2020-02-26,NA,NA,NA
2020-02-27,NA,70,NA
2020-02-28,46,116,3303
2020-02-29,26,142,NA
2020-03-01,23,165,NA
2020-03-02,26,191,NA
2020-03-03,24,215,NA
2020-03-04,16,231,4981
2020-03-05,8,239,NA
2020-03-06,8,247,NA
2020-03-07,7,254,NA
2020-03-08,6,260,NA
2020-03-09,15,275,NA
2020-03-10,15,290,NA
2020-03-11,31,321,NA
2020-03-12,45,366,9176
2020-03-13,76,442,9176
2020-03-14,78,520,NA
2020-03-15,104,624,43270
2020-03-16,118,742,43270
2020-03-17,193,935,56219
2020-03-18,92,1027,70998
2020-03-19,127,1154,74887
2020-03-20,233,1466,74887
2020-03-21,384,2086,NA
2020-03-22,278,2361,NA
2020-03-23,373,2734,NA
2020-03-24,737,3471,NA
2020-03-25,849,4320,NA
2020-03-26,1273,5495,NA
2020-03-27,1405,6900,NA
2020-03-28,1524,8424,NA
2020-03-29,1467,9891,NA
2020-03-30,1389,11280,NA
2020-03-31,1900,12574,NA
2020-04-01,2444,15635,NA
2020-04-02,2809,18432,NA
2020-04-03,2944,21376,NA
2020-04-04,2269,23645,NA
2020-04-05,NA,NA,NA
