"var","date","values"
"active","2020-02-24",0
"active","2020-02-25",0
"active","2020-02-26",0
"active","2020-02-27",0
"active","2020-02-28",1
"active","2020-02-29",0
"active","2020-03-01",0
"active","2020-03-02",0
"active","2020-03-03",0
"active","2020-03-04",0
"active","2020-03-05",0
"active","2020-03-06",0
"active","2020-03-07",0
"active","2020-03-08",0
"active","2020-03-09",0
"active","2020-03-10",2
"active","2020-03-11",0
"active","2020-03-12",0
"active","2020-03-13",3
"active","2020-03-14",0
"active","2020-03-15",5
"active","2020-03-16",6
"active","2020-03-17",8
"active","2020-03-18",8
"active","2020-03-19",14
"active","2020-03-20",20
"active","2020-03-21",30
"active","2020-03-22",44
"active","2020-03-23",36
"active","2020-03-24",29
"active","2020-03-25",63
"active","2020-03-26",71
"active","2020-03-27",36
"active","2020-03-28",53
"active","2020-03-29",47
"active","2020-03-30",43
"active","2020-03-31",47
"active","2020-04-01",67
"active","2020-04-02",47
"active","2020-04-03",74
"active","2020-04-04",40
"active","2020-04-05",0
"confirmed","2020-02-24",0
"confirmed","2020-02-25",0
"confirmed","2020-02-26",0
"confirmed","2020-02-27",0
"confirmed","2020-02-28",1
"confirmed","2020-02-29",0
"confirmed","2020-03-01",0
"confirmed","2020-03-02",0
"confirmed","2020-03-03",0
"confirmed","2020-03-04",0
"confirmed","2020-03-05",0
"confirmed","2020-03-06",0
"confirmed","2020-03-07",0
"confirmed","2020-03-08",0
"confirmed","2020-03-09",0
"confirmed","2020-03-10",2
"confirmed","2020-03-11",0
"confirmed","2020-03-12",0
"confirmed","2020-03-13",3
"confirmed","2020-03-14",1
"confirmed","2020-03-15",5
"confirmed","2020-03-16",6
"confirmed","2020-03-17",8
"confirmed","2020-03-18",8
"confirmed","2020-03-19",14
"confirmed","2020-03-20",21
"confirmed","2020-03-21",30
"confirmed","2020-03-22",44
"confirmed","2020-03-23",36
"confirmed","2020-03-24",30
"confirmed","2020-03-25",65
"confirmed","2020-03-26",71
"confirmed","2020-03-27",37
"confirmed","2020-03-28",55
"confirmed","2020-03-29",47
"confirmed","2020-03-30",49
"confirmed","2020-03-31",48
"confirmed","2020-04-01",68
"confirmed","2020-04-02",47
"confirmed","2020-04-03",75
"confirmed","2020-04-04",40
"confirmed","2020-04-05",0
"deaths","2020-02-24",0
"deaths","2020-02-25",0
"deaths","2020-02-26",0
"deaths","2020-02-27",0
"deaths","2020-02-28",0
"deaths","2020-02-29",0
"deaths","2020-03-01",0
"deaths","2020-03-02",0
"deaths","2020-03-03",0
"deaths","2020-03-04",0
"deaths","2020-03-05",0
"deaths","2020-03-06",0
"deaths","2020-03-07",0
"deaths","2020-03-08",0
"deaths","2020-03-09",0
"deaths","2020-03-10",0
"deaths","2020-03-11",0
"deaths","2020-03-12",0
"deaths","2020-03-13",0
"deaths","2020-03-14",0
"deaths","2020-03-15",0
"deaths","2020-03-16",0
"deaths","2020-03-17",0
"deaths","2020-03-18",0
"deaths","2020-03-19",0
"deaths","2020-03-20",1
"deaths","2020-03-21",0
"deaths","2020-03-22",0
"deaths","2020-03-23",0
"deaths","2020-03-24",1
"deaths","2020-03-25",2
"deaths","2020-03-26",0
"deaths","2020-03-27",1
"deaths","2020-03-28",2
"deaths","2020-03-29",0
"deaths","2020-03-30",0
"deaths","2020-03-31",1
"deaths","2020-04-01",1
"deaths","2020-04-02",0
"deaths","2020-04-03",1
"deaths","2020-04-04",0
"deaths","2020-04-05",0
"recovered","2020-02-24",0
"recovered","2020-02-25",0
"recovered","2020-02-26",0
"recovered","2020-02-27",0
"recovered","2020-02-28",0
"recovered","2020-02-29",0
"recovered","2020-03-01",0
"recovered","2020-03-02",0
"recovered","2020-03-03",0
"recovered","2020-03-04",0
"recovered","2020-03-05",0
"recovered","2020-03-06",0
"recovered","2020-03-07",0
"recovered","2020-03-08",0
"recovered","2020-03-09",0
"recovered","2020-03-10",0
"recovered","2020-03-11",0
"recovered","2020-03-12",0
"recovered","2020-03-13",0
"recovered","2020-03-14",1
"recovered","2020-03-15",0
"recovered","2020-03-16",0
"recovered","2020-03-17",0
"recovered","2020-03-18",0
"recovered","2020-03-19",0
"recovered","2020-03-20",0
"recovered","2020-03-21",0
"recovered","2020-03-22",0
"recovered","2020-03-23",0
"recovered","2020-03-24",0
"recovered","2020-03-25",0
"recovered","2020-03-26",0
"recovered","2020-03-27",0
"recovered","2020-03-28",0
"recovered","2020-03-29",0
"recovered","2020-03-30",6
"recovered","2020-03-31",0
"recovered","2020-04-01",0
"recovered","2020-04-02",0
"recovered","2020-04-03",0
"recovered","2020-04-04",0
"recovered","2020-04-05",0
