"date","conf_new","conf_total","deaths_new","deaths_total","recovered_total","tested_new","tested_total"
2020-02-24,NA,NA,NA,NA,NA,NA,NA
2020-02-25,NA,NA,NA,NA,NA,NA,NA
2020-02-26,NA,NA,NA,NA,NA,NA,NA
2020-02-27,NA,NA,NA,NA,NA,NA,NA
2020-02-28,NA,NA,NA,NA,NA,NA,NA
2020-02-29,NA,NA,NA,NA,NA,NA,NA
2020-03-01,0,0,NA,NA,NA,10,97
2020-03-02,0,0,NA,NA,NA,17,114
2020-03-03,1,1,NA,NA,1,17,131
2020-03-04,0,1,NA,NA,1,21,152
2020-03-05,0,1,NA,NA,1,17,170
2020-03-06,0,1,NA,NA,1,16,186
2020-03-07,0,1,NA,NA,1,14,200
2020-03-08,2,3,NA,NA,1,22,222
2020-03-09,3,6,NA,NA,1,22,244
2020-03-10,2,8,NA,NA,1,30,274
2020-03-11,2,10,NA,NA,1,17,291
2020-03-12,6,16,NA,NA,1,41,332
2020-03-13,1,17,NA,NA,1,76,408
2020-03-14,9,26,NA,NA,1,258,666
2020-03-15,4,30,NA,NA,1,244,910
2020-03-16,4,34,NA,NA,1,237,1147
2020-03-17,26,60,NA,NA,1,391,1538
2020-03-18,11,71,NA,NA,1,604,2144
2020-03-19,15,86,NA,NA,1,533,2677
2020-03-20,25,111,NA,NA,1,528,3205
2020-03-21,13,124,NA,NA,1,1241,4446
2020-03-22,15,139,NA,NA,1,681,5127
2020-03-23,41,180,NA,NA,1,987,6114
2020-03-24,17,197,NA,NA,1,692,6806
2020-03-25,24,221,NA,NA,1,1151,9796
2020-03-26,23,244,NA,NA,1,817,10613
2020-03-27,36,280,NA,NA,1,1089,11702
2020-03-28,25,305,NA,NA,1,1046,12748
2020-03-29,42,347,NA,NA,1,1057,13805
2020-03-30,29,376,NA,NA,1,502,14307
2020-03-31,22,398,NA,NA,1,500,14807
2020-04-01,48,446,NA,NA,1,1003,15810
2020-04-02,12,458,NA,NA,1,1024,16834
2020-04-03,35,493,NA,NA,1,1364,18198
2020-04-04,NA,NA,NA,NA,NA,NA,NA
2020-04-05,NA,NA,NA,NA,NA,NA,NA
