Release Date,Time,Actual,Forecast,Previous
"Apr 23, 2020",03:30:00 AM,  ,39.6,45.4
"Apr 01, 2020",03:55:00 AM,45.4,45.5,45.7
"Mar 24, 2020",04:30:00 AM,45.7,39.6,48
"Mar 02, 2020",04:55:00 AM,48,47.8,45.3
"Feb 21, 2020",04:30:00 AM,47.8,44.8,45.3
"Feb 03, 2020",04:55:00 AM,45.3,45.2,43.7
"Jan 24, 2020",04:30:00 AM,45.2,44.5,43.7
"Jan 02, 2020",04:55:00 AM,43.7,43.4,43.4
"Dec 16, 2019",04:30:00 AM,43.4,44.5,44.1
"Dec 02, 2019",04:55:00 AM,44.1,43.8,43.8
"Nov 22, 2019",04:30:00 AM,43.8,42.9,42.1
"Nov 04, 2019",04:55:00 AM,42.1,41.9,41.7
"Oct 24, 2019",03:30:00 AM,41.9,42,41.7
"Oct 01, 2019",03:55:00 AM,41.7,41.4,43.5
"Sep 23, 2019",03:30:00 AM,41.4,44,43.5
"Sep 02, 2019",03:55:00 AM,43.5,43.6,43.6
"Aug 22, 2019",03:30:00 AM,43.6,43,43.2
"Aug 01, 2019",03:55:00 AM,43.2,43.1,43.1
"Jul 24, 2019",03:30:00 AM,43.1,45.1,45
"Jul 01, 2019",03:55:00 AM,45,45.4,45.4
"Jun 21, 2019",03:30:00 AM,45.4,44.6,44.3
"Jun 03, 2019",03:55:00 AM,44.3,44.3,44.3
"May 23, 2019",03:30:00 AM,44.3,44.8,44.4
"May 02, 2019",03:55:00 AM,44.4,44.5,44.5
"Apr 18, 2019",03:30:00 AM,44.5,45,44.1
"Apr 01, 2019",03:55:00 AM,44.1,44.7,44.7
"Mar 22, 2019",04:30:00 AM,44.7,48,47.6
"Mar 01, 2019",04:55:00 AM,47.6,47.6,47.6
"Feb 21, 2019",04:30:00 AM,47.6,50,49.7
"Feb 01, 2019",04:55:00 AM,49.7,49.9,49.9
"Jan 24, 2019",04:30:00 AM,49.9,51.4,51.5
"Jan 02, 2019",04:55:00 AM,51.5,51.5,51.5
"Dec 14, 2018",04:30:00 AM,51.5,51.8,51.8
"Dec 03, 2018",04:55:00 AM,51.8,51.6,51.6
"Nov 23, 2018",04:30:00 AM,51.6,52.3,52.2
"Nov 02, 2018",04:55:00 AM,52.2,52.3,52.3
"Oct 24, 2018",03:30:00 AM,52.3,53.5,53.7
"Oct 01, 2018",03:55:00 AM,53.7,53.7,53.7
"Sep 21, 2018",03:30:00 AM,53.7,55.7,55.9
"Sep 03, 2018",03:55:00 AM,55.9,56.1,56.1
"Aug 23, 2018",03:30:00 AM,56.1,56.5,56.9
"Aug 01, 2018",03:55:00 AM,56.9,57.3,57.3
"Jul 24, 2018",03:30:00 AM,57.3,55.5,55.9
"Jul 02, 2018",03:55:00 AM,55.9,55.9,55.9
