"var","date","values"
"active",2020-02-24,0
"active",2020-02-25,0
"active",2020-02-26,0
"active",2020-02-27,0
"active",2020-02-28,1
"active",2020-02-29,1
"active",2020-03-01,1
"active",2020-03-02,1
"active",2020-03-03,1
"active",2020-03-04,1
"active",2020-03-05,1
"active",2020-03-06,1
"active",2020-03-07,1
"active",2020-03-08,1
"active",2020-03-09,1
"active",2020-03-10,3
"active",2020-03-11,3
"active",2020-03-12,3
"active",2020-03-13,6
"active",2020-03-14,6
"active",2020-03-15,11
"active",2020-03-16,17
"active",2020-03-17,25
"active",2020-03-18,33
"active",2020-03-19,47
"active",2020-03-20,67
"active",2020-03-21,97
"active",2020-03-22,141
"active",2020-03-23,177
"active",2020-03-24,206
"active",2020-03-25,269
"active",2020-03-26,340
"active",2020-03-27,376
"active",2020-03-28,429
"active",2020-03-29,476
"active",2020-03-30,519
"active",2020-03-31,566
"active",2020-04-01,633
"active",2020-04-02,680
"active",2020-04-03,755
"active",2020-04-04,791
"active",2020-04-05,821
"active",2020-04-06,858
"active",2020-04-07,890
"active",2020-04-08,890
"confirmed",2020-02-24,0
"confirmed",2020-02-25,0
"confirmed",2020-02-26,0
"confirmed",2020-02-27,0
"confirmed",2020-02-28,1
"confirmed",2020-02-29,1
"confirmed",2020-03-01,1
"confirmed",2020-03-02,1
"confirmed",2020-03-03,1
"confirmed",2020-03-04,1
"confirmed",2020-03-05,1
"confirmed",2020-03-06,1
"confirmed",2020-03-07,1
"confirmed",2020-03-08,1
"confirmed",2020-03-09,1
"confirmed",2020-03-10,3
"confirmed",2020-03-11,3
"confirmed",2020-03-12,3
"confirmed",2020-03-13,6
"confirmed",2020-03-14,7
"confirmed",2020-03-15,12
"confirmed",2020-03-16,18
"confirmed",2020-03-17,26
"confirmed",2020-03-18,34
"confirmed",2020-03-19,48
"confirmed",2020-03-20,69
"confirmed",2020-03-21,99
"confirmed",2020-03-22,143
"confirmed",2020-03-23,179
"confirmed",2020-03-24,209
"confirmed",2020-03-25,274
"confirmed",2020-03-26,345
"confirmed",2020-03-27,382
"confirmed",2020-03-28,437
"confirmed",2020-03-29,484
"confirmed",2020-03-30,533
"confirmed",2020-03-31,581
"confirmed",2020-04-01,649
"confirmed",2020-04-02,696
"confirmed",2020-04-03,772
"confirmed",2020-04-04,811
"confirmed",2020-04-05,843
"confirmed",2020-04-06,880
"confirmed",2020-04-07,912
"confirmed",2020-04-08,912
"deaths",2020-02-24,0
"deaths",2020-02-25,0
"deaths",2020-02-26,0
"deaths",2020-02-27,0
"deaths",2020-02-28,0
"deaths",2020-02-29,0
"deaths",2020-03-01,0
"deaths",2020-03-02,0
"deaths",2020-03-03,0
"deaths",2020-03-04,0
"deaths",2020-03-05,0
"deaths",2020-03-06,0
"deaths",2020-03-07,0
"deaths",2020-03-08,0
"deaths",2020-03-09,0
"deaths",2020-03-10,0
"deaths",2020-03-11,0
"deaths",2020-03-12,0
"deaths",2020-03-13,0
"deaths",2020-03-14,0
"deaths",2020-03-15,0
"deaths",2020-03-16,0
"deaths",2020-03-17,0
"deaths",2020-03-18,0
"deaths",2020-03-19,0
"deaths",2020-03-20,1
"deaths",2020-03-21,1
"deaths",2020-03-22,1
"deaths",2020-03-23,1
"deaths",2020-03-24,2
"deaths",2020-03-25,4
"deaths",2020-03-26,4
"deaths",2020-03-27,5
"deaths",2020-03-28,7
"deaths",2020-03-29,7
"deaths",2020-03-30,7
"deaths",2020-03-31,8
"deaths",2020-04-01,9
"deaths",2020-04-02,9
"deaths",2020-04-03,10
"deaths",2020-04-04,13
"deaths",2020-04-05,15
"deaths",2020-04-06,15
"deaths",2020-04-07,15
"deaths",2020-04-08,15
"recovered",2020-02-24,0
"recovered",2020-02-25,0
"recovered",2020-02-26,0
"recovered",2020-02-27,0
"recovered",2020-02-28,0
"recovered",2020-02-29,0
"recovered",2020-03-01,0
"recovered",2020-03-02,0
"recovered",2020-03-03,0
"recovered",2020-03-04,0
"recovered",2020-03-05,0
"recovered",2020-03-06,0
"recovered",2020-03-07,0
"recovered",2020-03-08,0
"recovered",2020-03-09,0
"recovered",2020-03-10,0
"recovered",2020-03-11,0
"recovered",2020-03-12,0
"recovered",2020-03-13,0
"recovered",2020-03-14,1
"recovered",2020-03-15,1
"recovered",2020-03-16,1
"recovered",2020-03-17,1
"recovered",2020-03-18,1
"recovered",2020-03-19,1
"recovered",2020-03-20,1
"recovered",2020-03-21,1
"recovered",2020-03-22,1
"recovered",2020-03-23,1
"recovered",2020-03-24,1
"recovered",2020-03-25,1
"recovered",2020-03-26,1
"recovered",2020-03-27,1
"recovered",2020-03-28,1
"recovered",2020-03-29,1
"recovered",2020-03-30,7
"recovered",2020-03-31,7
"recovered",2020-04-01,7
"recovered",2020-04-02,7
"recovered",2020-04-03,7
"recovered",2020-04-04,7
"recovered",2020-04-05,7
"recovered",2020-04-06,7
"recovered",2020-04-07,7
"recovered",2020-04-08,7
