"date","confirmed_new","confirmed_total","deaths_new","deaths_total","recovered_new","recovered_total","active_new","active_total","tested_new","tested_total","hospitalised","hospitalised_intensive"
2020-02-25,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA
2020-02-26,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA
2020-02-27,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA
2020-02-28,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA
2020-02-29,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA
2020-03-01,0,0,0,0,0,0,0,0,10,97,NA,NA
2020-03-02,0,0,0,0,0,0,0,0,17,114,NA,NA
2020-03-03,1,1,0,0,1,1,0,0,17,131,NA,NA
2020-03-04,0,1,0,0,0,1,0,0,21,152,NA,NA
2020-03-05,0,1,0,0,0,1,0,0,17,170,NA,NA
2020-03-06,0,1,0,0,0,1,0,0,16,186,NA,NA
2020-03-07,0,1,0,0,0,1,0,0,14,200,NA,NA
2020-03-08,2,3,0,0,0,1,2,2,22,222,NA,NA
2020-03-09,3,6,0,0,0,1,3,5,22,244,NA,NA
2020-03-10,2,8,0,0,0,1,2,7,30,274,NA,NA
2020-03-11,2,10,0,0,0,1,2,9,17,291,NA,NA
2020-03-12,6,16,0,0,0,1,6,15,41,332,NA,NA
2020-03-13,1,17,0,0,0,1,1,16,76,408,NA,NA
2020-03-14,9,26,0,0,0,1,9,25,258,666,NA,NA
2020-03-15,4,30,0,0,0,1,4,29,244,910,NA,NA
2020-03-16,4,34,0,0,0,1,4,33,237,1147,NA,NA
2020-03-17,26,60,0,0,0,1,26,59,391,1538,NA,NA
2020-03-18,11,71,0,0,0,1,11,70,604,2144,NA,NA
2020-03-19,15,86,0,0,0,1,15,85,533,2677,NA,NA
2020-03-20,25,111,0,0,0,1,25,110,528,3205,NA,NA
2020-03-21,13,124,0,0,0,1,13,123,1241,4446,NA,NA
2020-03-22,15,139,0,0,0,1,15,138,681,5127,NA,NA
2020-03-23,41,180,0,0,0,1,41,179,987,6114,NA,NA
2020-03-24,17,197,0,0,0,1,17,196,692,6806,NA,NA
2020-03-25,24,221,0,0,0,1,24,220,1151,9796,NA,NA
2020-03-26,23,244,0,0,0,1,23,243,817,10613,NA,NA
2020-03-27,36,280,0,0,0,1,36,279,1089,11702,NA,NA
2020-03-28,25,305,0,0,0,1,25,304,1046,12748,NA,NA
2020-03-29,42,347,0,0,0,1,42,346,1057,13805,NA,NA
2020-03-30,29,376,0,0,0,1,29,375,502,14307,NA,NA
2020-03-31,22,398,0,0,0,1,22,397,500,14807,NA,NA
2020-04-01,48,446,0,0,0,1,48,445,1003,15810,NA,NA
2020-04-02,12,458,0,0,0,1,12,457,1024,16834,NA,NA
2020-04-03,35,493,0,0,0,1,35,492,1364,18198,NA,NA
2020-04-04,16,509,0,0,0,1,16,508,1182,19380,NA,NA
2020-04-05,24,533,0,0,0,1,24,532,1300,20680,NA,NA
2020-04-06,9,542,1,1,0,1,8,540,773,21453,NA,NA
2020-04-07,6,548,1,2,15,16,-10,530,1122,22575,NA,NA
2020-04-08,29,577,0,2,0,16,29,559,1461,24036,NA,NA
2020-04-09,12,589,0,2,0,16,12,571,1422,25458,NA,NA
2020-04-10,23,612,0,2,0,16,23,594,1198,26656,NA,NA
2020-04-11,18,630,1,3,0,16,17,611,1140,27796,NA,NA
2020-04-12,21,651,2,5,0,16,19,630,418,28214,NA,NA
2020-04-13,2,653,0,5,0,16,2,632,562,28776,NA,NA
