osp_c_n,osp_c_c,osm_c_n,osm_c_c
Akmenės r. sav.,32,Akmenės rajono savivaldybė,LT-01
Alytaus m. sav.,11,Alytaus miesto savivaldybė,LT-02
Alytaus r. sav.,33,Alytaus rajono savivaldybė,LT-03
Anykščių r. sav.,34,Anykščių rajono savivaldybė,LT-04
Birštono sav.,12,Birštono savivaldybė,LT-05
Biržų r. sav.,36,Biržų rajono savivaldybė,LT-06
Druskininkų sav.,15,Druskininkų savivaldybė,LT-07
Elektrėnų sav.,42,Elektrėnų savivaldybė,LT-08
Ignalinos r. sav.,45,Ignalinos rajono savivaldybė,LT-09
Jonavos r. sav.,46,Jonavos rajono savivaldybė,LT-10
Joniškio r. sav.,47,Joniškio rajono savivaldybė,LT-11
Jurbarko r. sav.,94,Jurbarko rajono savivaldybė,LT-12
Kaišiadorių r. sav.,49,Kaišiadorių rajono savivaldybė,LT-13
Kalvarijos sav.,48,Kalvarijos savivaldybė,LT-14
Kauno m. sav.,19,Kauno miesto savivaldybė,LT-15
Kauno r. sav.,52,Kauno rajono savivaldybė,LT-16
Kazlų Rūdos sav.,58,Kazlų Rūdos savivaldybė,LT-17
Kėdainių r. sav.,53,Kėdainių rajono savivaldybė,LT-18
Kelmės r. sav.,54,Kelmės rajono savivaldybė,LT-19
Klaipėdos m. sav.,21,Klaipėdos miesto savivaldybė,LT-20
Klaipėdos r. sav.,55,Klaipėdos rajono savivaldybė,LT-21
Kretingos r. sav.,56,Kretingos rajono savivaldybė,LT-22
Kupiškio r. sav.,57,Kupiškio rajono savivaldybė,LT-23
Lazdijų r. sav.,59,Lazdijų rajono savivaldybė,LT-24
Marijampolės sav.,18,Marijampolės savivaldybė,LT-25
Mažeikių r. sav.,61,Mažeikių rajono savivaldybė,LT-26
Molėtų r. sav.,62,Molėtų rajono savivaldybė,LT-27
Neringos sav.,23,Neringos savivaldybė,LT-28
Pagėgių sav.,63,Pagėgių savivaldybė,LT-29
Pakruojo r. sav.,65,Pakruojo rajono savivaldybė,LT-30
Palangos m. sav.,25,Palangos miesto savivaldybė,LT-31
Panevėžio m. sav.,27,Panevėžio miesto savivaldybė,LT-32
Panevėžio r. sav.,66,Panevėžio rajono savivaldybė,LT-33
Pasvalio r. sav.,67,Pasvalio rajono savivaldybė,LT-34
Plungės r. sav.,68,Plungės rajono savivaldybė,LT-35
Prienų r. sav.,69,Prienų rajono savivaldybė,LT-36
Radviliškio r. sav.,71,Radviliškio rajono savivaldybė,LT-37
Raseinių r. sav.,72,Raseinių rajono savivaldybė,LT-38
Rietavo sav.,74,Rietavo savivaldybė,LT-39
Rokiškio r. sav.,73,Rokiškio rajono savivaldybė,LT-40
Šakių r. sav.,84,Šakių rajono savivaldybė,LT-41
Šalčininkų r. sav.,85,Šalčininkų rajono savivaldybė,LT-42
Šiaulių m. sav.,29,Šiaulių miesto savivaldybė,LT-43
Šiaulių r. sav.,91,Šiaulių rajono savivaldybė,LT-44
Šilalės r. sav.,87,Šilalės rajono savivaldybė,LT-45
Šilutės r. sav.,88,Šilutės rajono savivaldybė,LT-46
Širvintų r. sav.,89,Širvintų rajono savivaldybė,LT-47
Skuodo r. sav.,75,Skuodo rajono savivaldybė,LT-48
Švenčionių r. sav.,86,Švenčionių rajono savivaldybė,LT-49
Tauragės r. sav.,77,Tauragės rajono savivaldybė,LT-50
Telšių r. sav.,78,Telšių rajono savivaldybė,LT-51
Trakų r. sav.,79,Trakų rajono savivaldybė,LT-52
Ukmergės r. sav.,81,Ukmergės rajono savivaldybė,LT-53
Utenos r. sav.,82,Utenos rajono savivaldybė,LT-54
Varėnos r. sav.,38,Varėnos rajono savivaldybė,LT-55
Vilkaviškio r. sav.,39,Vilkaviškio rajono savivaldybė,LT-56
Vilniaus m. sav.,13,Vilniaus miesto savivaldybė,LT-57
Vilniaus r. sav.,41,Vilniaus rajono savivaldybė,LT-58
Visagino sav.,30,Visagino savivaldybė,LT-59
Zarasų r. sav.,43,Zarasų rajono savivaldybė,LT-60
