Apdraustøjø skaièius 2020-04-22 dienos pradþiai
Mokesèiø mokëtojo kodas;Draudëjo kodas;Apdraustøjø skaièius
------------------------------------------------------------
110003978;47039;2
110004884;120136;191
110005648;63287;60
110006892;46122;2
110008377;56132;4
110011925;57061;225
110012112;56147;226
110012450;115564;302
110013748;444929;9
110014316;46134;1
110015560;44280;10
110016096;439510;3
110016662;56176;2
110018147;43290;34
110019391;285127;4
110019434;263861;9
110019587;95198;1
110020365;57136;2
110022220;207047;61
110027534;115303;56
110032524;160289;109
110034728;53088;3
110037980;49262;2
110042632;59094;60
110049769;46155;3
110050351;453579;2
110051115;44302;12
110051791;52058;47
110051834;51060;1063
110052936;51075;48
110053842;63323;1255
110054563;47106;19
110055327;54322;6
110057335;410199;405
110057488;40225;9
110057869;73211;491
110058056;75050;8
110058241;42073;18
110059496;44359;18
110060121;45377;3
110060655;75166;14
110061038;41361;38
110062097;81212;15
110062510;209270;8
110063046;66366;3
110063950;82395;17
110064529;51375;3
110065054;375415;1
110065435;60298;1
110065773;116928;6
110066875;82196;54
110067062;538293;6
110067258;253313;2
110067443;192032;14
110067596;271041;13
110067639;84319;24
110067781;342769;12
110067977;205980;14
110068011;44382;18
110068545;439498;30
110068730;124587;59
110068926;68432;41
110069070;65409;4
110069451;55759;16
110070044;585367;402
110070382;40784;2
110072586;86067;4
110076079;59746;23
110076798;49846;2
110078272;410408;4
110078468;441299;6
110078991;81534;531
110080729;441486;79
110081788;65684;44
110082737;79837;70
110082922;832620;9
110083262;827611;18
110083981;634827;6
110084026;94766;59
110084898;701060;6
110084930;701526;1
110085085;519345;1
110085313;574205;9
110085466;827930;8
110086034;805438;81
110086415;933047;5
110086568;788061;14
110086753;691190;7
110087289;856844;6
110087474;153160;4
110087517;841549;188
110088042;153180;23
110088380;153211;8
110088423;998265;7
110088957;864079;17
110089678;605837;4
110089710;716880;1
110090118;718776;4
110090837;719636;19
110165745;918229;54
110165898;42264;44
110167753;453133;177
110172743;55295;1
110172939;53358;1
110178963;65013;30
110179499;62079;1
110179684;58328;73
110182328;58019;8
110185776;58300;10
110185819;340666;38
110187827;66075;14
110189835;62111;134
110193723;62238;6319
110199943;444177;146
110200616;66313;9
110202581;444543;2
110213268;76144;2
110218048;76417;1
110223757;76341;1
110223942;76290;1
110237358;76359;1
110241050;67114;28
110252641;41399;2
110296043;458028;2
110301113;54156;27
110302215;335068;3
110302891;205335;3
110304376;56497;2
110306612;330602;6
110309494;443749;58
110309918;448173;1
110312519;52155;11
110312661;443913;30
110314865;40239;3
110320619;49258;184
110321710;160302;3
110321863;49263;3
110323729;63293;12
110324069;434758;2
110329372;55242;2
110329415;452829;3
110332920;51210;7
110336566;58264;5
110337853;205311;51
110342843;53340;48
110343945;48186;2
110346717;595071;2
110353672;55206;12
110355919;530394;253
110356825;58018;36
110359216;55217;3
110359369;264696;14
110360528;48244;59
110362493;43208;11
110365450;58319;324
110367316;60020;9
110369477;50042;1
110370974;117016;23
110375220;205357;2
110378330;453795;22
110378711;448341;63
110379432;41055;74
110380897;62028;2
110382414;46285;40
110383288;452853;282
110384422;448127;30
110387685;58048;3
110389921;61010;4
110390133;43297;45
110392718;136578;3
110394345;443535;17
110394530;443555;2
110395066;60147;77
110395970;62070;75
110396887;448815;66
110397117;58185;1
110401957;68894;598
110403050;61078;19
110404729;60271;26
110407458;75036;70
110408745;62054;4
110410778;62008;4
110413888;444921;14
110418668;426821;10
110424030;65095;3
110425470;334083;7
110427674;454001;8
110430994;40104;160
110431377;68032;11
110431943;67017;2
110432664;65337;5
110433047;330059;62
110433385;62068;2
110437063;535338;4
110437597;440396;68
110437825;61290;2
110438350;66321;17
110439114;66007;3
110439790;440565;2
110441713;299077;7
110443493;453597;1222
110443689;66348;10
110445010;418231;7
110448469;69101;6
110451593;73010;2
110451974;67222;9
110457856;443621;2
110458043;439218;10
110461363;68402;201
110461897;120299;15
110462312;69258;3
110463186;69400;153
110466481;265233;72
110468728;69415;2
110469591;525233;25
110470031;335197;7
110470565;69395;8
110471471;120399;14
110472954;335275;4
110474243;444423;74
110474962;73063;163
110484732;50362;36
110484885;265644;2
110485453;50325;2
110487461;396192;4
110488225;73372;1
110488378;73009;2
110491926;359292;2
110497046;46189;45
110498671;66130;19
